year,price,crop
2009,135,1
2010,130,1
2011,165,1
2012,160,1
2013,175,1
2009,135,2
2010,135,2
2011,170,2
2012,175,2
2013,175,2
2009,136,3
2010,135,3
2011,165,3
2012,170,3
2013,170,3
2009,140,4
2010,140,4
2011,170,4
2012,175,4
2013,180,4
2009,115,5
2010,110,5
2011,145,5
2012,150,5
2013,150,5
2009,400,6
2010,350,6
2011,380,6
2012,380,6
2013,400,6
2009,420,7
2010,400,7
2011,440,7
2012,450,7
2013,450,7
2009,150,8 7
2010,135,8 7
2011,165,8 7
2012,160,8 7
2013,165,8 7
2009,220,9
2010,215,9
2011,230,9
2012,250,9
2013,245,9
2009,440,10
2010,410,10
2011,415,10
2012,420,10
2013,450,10
2009,430,11
2010,420,11
2011,450,11
2012,440,11
2013,460,11
2009,435,12
2010,420,12
2011,450,12
2012,450,12
2013,470,12
2009,1575,13
2010,1580,13
2011,1600,13
2012,1700,13
2013,1750,13
2009,445,14
2010,425,14
2011,430,14
2012,420,14
2013,450,14
