years,SAPlanted,SAHarvested,SProduction,Syield,WAPlanted,WAHarvested,WProduction,Wyield,MAPlanted,MAHarvested,MProduction,Myield,CTAPlanted,CTAHarvested,CTProduction,CTyield,year
1990/1991,1313,817,281,344,631,612,334,546,0.00,0.00,0.00,0.00,1944,1429,615,430,1990
1991/1992,1555,1054,524,497,532,527,495,939,0.00,0.00,0.00,0.00,2087,1581,1019,645,1991
1992/1993,1626,1473,645,438,514,500,280,560,0.00,0.00,0.00,0.00,2140,1973,925,469,1992
1993/1994,1187,992,455,459,531,531,282,531,0.00,0.00,0.00,0.00,1718,1523,737,484,1993
1994/1995,1499,1295,554,428,393,384,230,599,0.00,0.00,0.00,0.00,1892,1679,784,467,1994
1995/1996,1552,1126,378,336,400,391,254,650,0.00,0.00,0.00,0.00,1952,1517,632,417,1995
1996/1997,1988,1420,690,486,390,385,270,701,0.00,0.00,0.00,0.00,2378,1805,960,532,1996
1997/1998,1227,868,412,475,320,301,261,867,0.00,0.00,0.00,0.00,1547,1169,673,576,1997
1998/1999,1479,1288,483,375,176,125,34,272,0.00,0.00,0.00,0.00,1655,1413,517,366,1998
1999/2000,1531,1156,388,336,67,43,22,512,0.00,0.00,0.00,0.00,1598,1199,410,342,1999
2000/2001,509,500,449,898,76,74,52,703,0.00,0.00,0.00,0.00,585,574,501,873,2000
2001/2002,1533,1361,752,553,80,80,58,725,0.00,0.00,0.00,0.00,1613,1441,810,562,2001
2002/2003,1124,833,472,567,116,111,100,901,1,1,0,95,1241,945,572,605,2002
2003/2004,1474,1396,466,334,200,190,171,900,11,10,1,100,1685,1596,638,400,2003
2004/2005,709,477,384,805,149,142,114,803,1,1,0,95,859,620,498,803,2004
2005/2006,1653,1338,572,428,156,153,122,797,10,7,1,143,1819,1498,695,464,2005
2006/2007,1128,973,647,665,300,281,226,804,21,16,2,125,1449,1270,875,689,2006
2007/2008,1722,1605,641,399,426,420,353,840,15,14,3,214,2163,2039,997,489,2007
2008/2009,1311,1253,667,532,443,429,245,571,4,3,1,333,1758,1685,913,542,2008
2009/2010,1591,883,365,413,307,292,204,699,9,5,1,200,1907,1180,570,483,2009
2010/2011,1764,1486,754,507,240,224,134,598,11,9,2,70,2015,1719,890,518,2010
2011/2012,1241,706,364,516,275,258,185,717,4,1,0,70,1520,965,549,569,2011
2012/2013,1817,1058,374,354,225,200,133,665,11,8,1,125,2053,1266,507,401,2012
2013/2014,1671,1046,404,386,115,105,74,705,3,2,0,125,1789,1153,478,415,2013
2014/2015,1876,1469,609,415,315,300,270,900,8,8,1,125,2199,1777,880,495,2014
2015/2016,451,386,326,845,325,315,284,902,0.00,0.00,0.00,0.00,776,701,610,870,2015
2016/2017,1684,1270,517,407,415,400,360,900,12,8,1,125,2111,1678,878,523,2016
2017/2018,1052,711,376,529,200,195,214,1097,0.00,0.00,0.00,0.00,1252,906,590,651,2017
2018/2019,1505,1195,530,444,371,359,359,1000,0.00,0.00,0.00,0.00,1876,1554,889,572,2018
