1971/1970,565,532,236,444,5401,4353,1299,298,5966,4885,1535,314,1971
1972/1971,549,519,261,503,4864,4037,1331,330,5413,4556,1592,349,1972
1973/1972,507,482,383,795,4299,3613,918,254,4806,4095,1301,318,1973
1974/1973,582,545,292,536,6200,5102,1399,274,6782,5647,1691,299,1974
1975/1974,486,454,198,436,6085,5123,1594,311,6571,5577,1792,321,1975
1976/1975,678,638,300,470,6807,5864,1843,314,7485,6502,2143,330,1976
1977/1976,588,551,237,430,7314,6169,1570,254,7902,6720,1807,269,1977
1978/1977,551,521,262,503,7731,6354,1850,291,8282,6875,2112,307,1978
1979/1978,600,563,245,435,7654,6317,2108,334,8254,6880,2353,342,1979
1980/1979,469,438,169,386,5997,5113,1292,253,6466,5551,1461,263,1980
1981/1980,550,514,170,331,7911,6452,1914,297,8461,6966,2084,299,1981
1982/1981,704,660,334,506,10954,8652,3001,347,11658,9312,3335,358,1982
1983/1982,521,488,194,398,9600,7976,1690,212,10121,8464,1884,223,1983
1984/1983,787,737,359,487,10584,8045,1447,180,11371,8782,1806,206,1984
1985/1984,819,766,436,569,10116,7221,661,92,10935,7987,1097,137,1985
1986/1985,1203,1123,660,588,14926,12032,2937,244,16129,13155,3597,273,1986
1987/1986,890,830,454,547,13515,10983,2823,257,14405,11813,3277,277,1987
1988/1987,759,711,352,495,9102,7358,1011,137,9861,8069,1363,169,1988
1989/1988,910,846,468,553,15112,12433,3957,318,16022,13279,4425,333,1989
1990/1989,810,755,392,519,10120,8294,1144,138,10930,9049,1536,170,1990
1991/1990,950,930,516,555,9561,5640,660,117,10511,6570,1176,179,1991
1992/1991,1412,1344,886,659,15405,9765,2695,276,16817,11109,3581,322,1992
1993/1992,1288,1221,769,630,16835,13540,3273,242,18123,14761,4042,274,1993
1994/1993,963,904,602,666,14081,10248,1784,174,15044,11152,2386,214,1994
1995/1994,1232,1181,726,615,16892,14122,2922,207,18124,15303,3648,238,1995
1996/1995,807,737,513,696,13856,11270,1967,175,14663,12007,2480,207,1996
1997/1996,914,877,888,1013,18000,14726,3201,217,18914,15603,4089,262,1997
1998/1997,977,832,676,813,16056,11814,2195,186,17033,12646,2871,227,1998
1999/1998,1128,896,526,587,16374,14128,3617,256,17502,15024,4143,276,1999
2000/1999,976,844,579,686,12482,9936,1768,178,13458,10780,2347,218,2000
2001/2000,1093,1032,900,872,12838,8976,1591,177,13931,10008,2491,249,2001
2002/2001,1712,1595,1446,907,16142,12088,2948,244,17854,13683,4394,321,2002
2003/2002,1047,987,866,877,17289,11680,1959,168,18336,12667,2825,223,2003
2004/2003,1002,913,676,740,18947,15954,4015,252,19949,16867,4691,278,2004
2005/2004,1211,944,772,818,14351,9135,1906,209,15562,10079,2678,266,2005
2006/2005,1105,1038,808,778,19348,14767,3519,238,20453,15805,4327,274,2006
2007/2006,1368,1262,1201,952,19226,14393,3798,264,20594,15655,4999,319,2007
2007/2008,25,25,3,122,15542,9772,718,73,15566,9797,721,74,2007
2008/2009,14,14,2,137,16002,10208,754,74,16016,10222,755,74,2008
2009/2010,16,16,3,190,14970,8400,471,56,14985,8416,474,56,2009
